epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2996.3,1.46872,1.36545,1.28514,0.51216,0.32114,0.32174,0.15366,1.89386,1.85634,1.49736,0.0005942,0.0005942,0.0005942
73,3032.75,1.46095,1.35063,1.29499,0.51891,0.30048,0.31964,0.14771,1.90404,1.86849,1.48231,0.0005744,0.0005744,0.0005744
74,3068.33,1.46606,1.3628,1.28637,0.50074,0.30843,0.30674,0.14194,1.91509,1.90915,1.50219,0.0005546,0.0005546,0.0005546
75,3103.62,1.43419,1.33572,1.2778,0.55974,0.2973,0.3077,0.14686,1.947,1.89603,1.52525,0.0005348,0.0005348,0.0005348
76,3139.05,1.44046,1.33109,1.27247,0.52519,0.29253,0.29735,0.14021,1.91304,1.89063,1.5036,0.000515,0.000515,0.000515
77,3175.4,1.4403,1.32073,1.27173,0.5532,0.28776,0.30465,0.14409,1.91111,1.90707,1.52678,0.0004952,0.0004952,0.0004952
78,3211.62,1.44245,1.33317,1.2784,0.50853,0.29889,0.3042,0.14675,1.92354,1.93013,1.51739,0.0004754,0.0004754,0.0004754
79,3247.73,1.41635,1.29208,1.26442,0.57224,0.30525,0.32645,0.14977,1.93769,1.82076,1.53065,0.0004556,0.0004556,0.0004556
80,3283.58,1.42192,1.29671,1.26437,0.49105,0.30048,0.28973,0.13896,1.91679,1.93537,1.51369,0.0004358,0.0004358,0.0004358
81,3318.25,1.41697,1.30079,1.25723,0.5197,0.29412,0.29652,0.1424,1.91146,1.92365,1.49742,0.000416,0.000416,0.000416
82,3351.22,1.40794,1.29552,1.26784,0.5292,0.27981,0.30028,0.1447,1.92524,1.8983,1.51898,0.0003962,0.0003962,0.0003962
83,3386.49,1.41415,1.28564,1.26295,0.49226,0.30048,0.30493,0.14832,1.92419,1.86806,1.51406,0.0003764,0.0003764,0.0003764
84,3421.62,1.39013,1.27578,1.25921,0.50428,0.3275,0.31294,0.15281,1.93039,1.87133,1.51616,0.0003566,0.0003566,0.0003566
85,3456.9,1.40457,1.27272,1.25612,0.49875,0.30366,0.29982,0.14586,1.93528,1.92216,1.52748,0.0003368,0.0003368,0.0003368
86,3492.05,1.38768,1.23599,1.24514,0.55371,0.29094,0.30853,0.14411,1.93295,1.92548,1.53559,0.000317,0.000317,0.000317
87,3527.39,1.37867,1.23777,1.24172,0.54779,0.29889,0.3061,0.14397,1.94628,1.94555,1.55112,0.0002972,0.0002972,0.0002972
88,3562.52,1.38402,1.23056,1.24142,0.54753,0.29094,0.30604,0.15345,1.89989,1.88346,1.50893,0.0002774,0.0002774,0.0002774
89,3597.73,1.38372,1.23029,1.24251,0.55264,0.30366,0.31178,0.14648,1.92205,1.90905,1.51737,0.0002576,0.0002576,0.0002576
90,3632.98,1.37789,1.22884,1.2382,0.53381,0.29309,0.29957,0.14099,1.92841,1.94041,1.55212,0.0002378,0.0002378,0.0002378
91,3730.01,1.37074,1.2374,1.25044,0.49697,0.31638,0.29829,0.14432,1.94328,1.90405,1.54802,0.000218,0.000218,0.000218
92,3763.05,1.34724,1.17208,1.23696,0.49659,0.31955,0.30607,0.14576,1.94545,1.9009,1.545,0.0001982,0.0001982,0.0001982
93,3796.73,1.34506,1.16612,1.22442,0.51177,0.31638,0.30617,0.14657,1.94255,1.91717,1.54153,0.0001784,0.0001784,0.0001784
94,3831.14,1.32232,1.14013,1.22024,0.50132,0.31002,0.29776,0.13958,1.95504,1.92932,1.5607,0.0001586,0.0001586,0.0001586
95,3865.62,1.32584,1.14569,1.22881,0.48122,0.31955,0.29849,0.14261,1.93471,1.9285,1.54844,0.0001388,0.0001388,0.0001388
96,3900.34,1.32661,1.14136,1.22154,0.49754,0.30366,0.29649,0.14139,1.94354,1.94869,1.54334,0.000119,0.000119,0.000119
97,3935.02,1.32038,1.1443,1.22068,0.51974,0.30366,0.29269,0.13974,1.9418,1.95841,1.54396,9.92e-05,9.92e-05,9.92e-05
